Date,neighbourhood,count
2015-01-01,Allerton/Pelham Gardens,15
2015-01-01,Alphabet City,480
2015-01-01,Arden Heights,1
2015-01-01,Arrochar/Fort Wadsworth,2
2015-01-01,Astoria,509
2015-01-01,Astoria Park,3
2015-01-01,Auburndale,21
2015-01-01,Baisley Park,24
2015-01-01,Bath Beach,24
2015-01-01,Battery Park,5
2015-01-01,Battery Park City,353
2015-01-01,Bay Ridge,194
2015-01-01,Bay Terrace/Fort Totten,16
2015-01-01,Bayside,46
2015-01-01,Bedford,534
2015-01-01,Bedford Park,43
2015-01-01,Bellerose,16
2015-01-01,Belmont,32
2015-01-01,Bensonhurst East,54
2015-01-01,Bensonhurst West,59
2015-01-01,Bloomfield/Emerson Hill,8
2015-01-01,Bloomingdale,89
2015-01-01,Boerum Hill,327
2015-01-01,Borough Park,50
2015-01-01,Breezy Point/Fort Tilden/Riis Beach,1
2015-01-01,Briarwood/Jamaica Hills,50
2015-01-01,Brighton Beach,35
2015-01-01,Bronx Park,10
2015-01-01,Bronxdale,18
2015-01-01,Brooklyn Heights,303
2015-01-01,Brooklyn Navy Yard,14
2015-01-01,Brownsville,42
2015-01-01,Bushwick North,791
2015-01-01,Bushwick South,713
2015-01-01,Cambria Heights,4
2015-01-01,Canarsie,72
2015-01-01,Carroll Gardens,197
2015-01-01,Central Harlem,320
2015-01-01,Central Harlem North,349
2015-01-01,Central Park,153
2015-01-01,Charleston/Tottenville,1
2015-01-01,Chinatown,244
2015-01-01,City Island,1
2015-01-01,Claremont/Bathgate,18
2015-01-01,Clinton East,1240
2015-01-01,Clinton Hill,460
2015-01-01,Clinton West,1090
2015-01-01,Co-Op City,12
2015-01-01,Cobble Hill,109
2015-01-01,College Point,30
2015-01-01,Columbia Street,45
2015-01-01,Coney Island,42
2015-01-01,Corona,5
2015-01-01,Corona,47
2015-01-01,Country Club,6
2015-01-01,Crotona Park,2
2015-01-01,Crotona Park East,21
2015-01-01,Crown Heights North,608
2015-01-01,Crown Heights South,113
2015-01-01,Cypress Hills,45
2015-01-01,Douglaston,13
2015-01-01,Downtown Brooklyn/MetroTech,225
2015-01-01,DUMBO/Vinegar Hill,241
2015-01-01,Dyker Heights,53
2015-01-01,East Chelsea,1483
2015-01-01,East Concourse/Concourse Village,37
2015-01-01,East Elmhurst,60
2015-01-01,East Flatbush/Farragut,66
2015-01-01,East Flatbush/Remsen Village,56
2015-01-01,East Flushing,29
2015-01-01,East Harlem North,193
2015-01-01,East Harlem South,208
2015-01-01,East New York,76
2015-01-01,East New York/Pennsylvania Avenue,27
2015-01-01,East Tremont,31
2015-01-01,East Village,2444
2015-01-01,East Williamsburg,750
2015-01-01,Eastchester,10
2015-01-01,Elmhurst,126
2015-01-01,Elmhurst/Maspeth,60
2015-01-01,Eltingville/Annadale/Prince's Bay,1
2015-01-01,Erasmus,37
2015-01-01,Far Rockaway,2
2015-01-01,Financial District North,550
2015-01-01,Financial District South,190
2015-01-01,Flatbush/Ditmas Park,218
2015-01-01,Flatiron,799
2015-01-01,Flatlands,73
2015-01-01,Flushing,114
2015-01-01,Flushing Meadows-Corona Park,22
2015-01-01,Fordham South,21
2015-01-01,Forest Hills,197
2015-01-01,Forest Park/Highland Park,3
2015-01-01,Fort Greene,371
2015-01-01,Fresh Meadows,20
2015-01-01,Garment District,322
2015-01-01,Glen Oaks,5
2015-01-01,Glendale,53
2015-01-01,Gowanus,180
2015-01-01,Gramercy,1009
2015-01-01,Gravesend,42
2015-01-01,Great Kills,4
2015-01-01,Greenpoint,935
2015-01-01,Greenwich Village North,869
2015-01-01,Greenwich Village South,995
2015-01-01,Grymes Hill/Clifton,3
2015-01-01,Hamilton Heights,186
2015-01-01,Hammels/Arverne,1
2015-01-01,Heartland Village/Todt Hill,2
2015-01-01,Highbridge,30
2015-01-01,Highbridge Park,1
2015-01-01,Hillcrest/Pomonok,23
2015-01-01,Hollis,4
2015-01-01,Homecrest,77
2015-01-01,Howard Beach,23
2015-01-01,Hudson Sq,296
2015-01-01,Hunts Point,20
2015-01-01,Inwood,83
2015-01-01,Inwood Hill Park,4
2015-01-01,Jackson Heights,194
2015-01-01,Jamaica,70
2015-01-01,Jamaica Estates,24
2015-01-01,JFK Airport,838
2015-01-01,Kensington,68
2015-01-01,Kew Gardens,51
2015-01-01,Kew Gardens Hills,32
2015-01-01,Kingsbridge Heights,48
2015-01-01,Kips Bay,489
2015-01-01,LaGuardia Airport,595
2015-01-01,Laurelton,7
2015-01-01,Lenox Hill East,381
2015-01-01,Lenox Hill West,602
2015-01-01,Lincoln Square East,820
2015-01-01,Lincoln Square West,368
2015-01-01,Little Italy/NoLiTa,1157
2015-01-01,Long Island City/Hunters Point,388
2015-01-01,Long Island City/Queens Plaza,93
2015-01-01,Longwood,15
2015-01-01,Lower East Side,1650
2015-01-01,Madison,36
2015-01-01,Manhattan Beach,33
2015-01-01,Manhattan Valley,173
2015-01-01,Manhattanville,94
2015-01-01,Marble Hill,14
2015-01-01,Marine Park/Mill Basin,48
2015-01-01,Mariners Harbor,2
2015-01-01,Maspeth,75
2015-01-01,Meatpacking/West Village West,1336
2015-01-01,Melrose South,34
2015-01-01,Middle Village,62
2015-01-01,Midtown Center,713
2015-01-01,Midtown East,517
2015-01-01,Midtown North,779
2015-01-01,Midtown South,970
2015-01-01,Midwood,63
2015-01-01,Morningside Heights,133
2015-01-01,Morrisania/Melrose,28
2015-01-01,Mott Haven/Port Morris,48
2015-01-01,Mount Hope,39
2015-01-01,Murray Hill,940
2015-01-01,Murray Hill-Queens,58
2015-01-01,Newark Airport,1
2015-01-01,North Corona,22
2015-01-01,Norwood,35
2015-01-01,Oakland Gardens,7
2015-01-01,Oakwood,1
2015-01-01,Ocean Hill,57
