Date,neighbourhood,count
2010-01-21,1,16
2010-01-22,1,21
2010-01-23,1,14
2010-01-08,1,15
2010-01-09,1,25
2010-01-10,1,18
2010-01-11,1,16
2010-01-12,1,14
2010-01-13,1,16
2010-01-24,1,15
2010-01-14,1,22
2010-01-25,1,15
2010-01-15,1,17
2010-01-26,1,18
2010-01-27,1,13
2010-01-01,1,10
2010-01-28,1,13
2010-01-02,1,14
2010-01-29,1,13
2010-01-03,1,10
2010-01-30,1,23
2010-01-04,1,12
2010-01-31,1,6
2010-01-05,1,13
2010-01-16,1,32
2010-01-06,1,12
2010-01-17,1,34
2010-01-07,1,15
2010-01-18,1,12
2010-01-19,1,11
2010-01-20,1,13
2010-01-01,2,10
2010-01-28,2,13
2010-01-02,2,14
2010-01-29,2,13
2010-01-03,2,10
2010-01-30,2,23
2010-01-04,2,12
2010-01-31,2,6
2010-01-05,2,13
2010-01-16,2,32
2010-01-06,2,12
2010-01-17,2,34
2010-01-07,2,15
2010-01-18,2,12
2010-01-19,2,11
2010-01-20,2,13
